CV183x,650Mhz,2021-12-12
Net,Inference Cycle(ms)
resnet50_bs1,10.19
resnet18_bs1,4.21
mobilenet_v1_bs1,1.80
mobilenet_v2_bs1,1.59
squeezenet_v1.1_bs1,1.31
shufflenet_v2_bs1,0.75
googlenet_bs1,5.04
inception_v3_bs1,11.91
inception_v4_bs1,27.32
vgg16_bs1,39.54
densenet_121_bs1,9.36
densenet_201_bs1,15.99
senet_res50_bs1,15.57
resnext50_bs1,12.70
res2net50_bs1,11.48
ecanet50_bs1,15.36
efficientnet_b0_bs1,2.70
efficientnet-lite_b0_bs1,1.69
nasnet_mobile_bs1,4.35
retinaface_mnet25_bs1,1.14
retinaface_mnet25_600_bs1,4.19
retinaface_res50_bs1,113.99
ssd300_bs1,63.24
mobilenet_ssd_bs1,3.30
yolo_v1_448_bs1,6.88
yolo_v2_416_bs1,28.92
yolo_v2_1080_bs1,368.77
yolo_v3_320_bs1,37.27
yolo_v3_416_bs1,62.65
yolo_v3_tiny_bs1,6.15
yolo_v3_608_bs1,132.86
yolo_v3_spp_bs1,133.53
yolo_v4_bs1,133.79
yolo_v4_s_bs1,29.92
yolo_v5_s_bs1,25.33
yolox_s_bs1,33.60
faster_rcnn_bs1,144.26
arcface_res50_bs1,15.91
alphapose_bs1,15.57
espcn_3x_bs1,0.80
unet_bs1,97.98
erfnet_bs1,99.06
enet_bs1,43.43
